,salary_min,salary_max,salary_currency,site,name,link
49,130000.0,160000.0,₽,hh.ru,Инженер-разработчик (CV),https://volgograd.hh.ru/vacancy/83081327?from=vacancy_search_list&query=python
50,,,,hh.ru,Junior Python Developer,https://volgograd.hh.ru/vacancy/83548117?from=vacancy_search_list&query=python
51,,80000.0,,hh.ru,Младший программист Python (отдел тестирования),https://volgograd.hh.ru/vacancy/80716553?from=vacancy_search_list&query=python
52,50000.0,,,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/83627947?from=vacancy_search_list&query=python
53,,200000.0,,hh.ru,Python - разработчик (Django),https://volgograd.hh.ru/vacancy/83679185?from=vacancy_search_list&query=python
54,150000.0,,,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/83359221?from=vacancy_search_list&query=python
55,200000.0,,,hh.ru,Middle Python developer (офис),https://volgograd.hh.ru/vacancy/79828667?from=vacancy_search_list&query=python
56,200000.0,250000.0,₽,hh.ru,Ведущий Python разработчик,https://volgograd.hh.ru/vacancy/82851522?from=vacancy_search_list&query=python
57,100000.0,150000.0,₽,hh.ru,Python-разработчик в R&D отдел,https://volgograd.hh.ru/vacancy/72687478?from=vacancy_search_list&query=python
58,150000.0,200000.0,₽,hh.ru,Middle python developer,https://volgograd.hh.ru/vacancy/83207801?from=vacancy_search_list&query=python
59,100000.0,150000.0,₽,hh.ru,Python-разработчик систем сбора,https://volgograd.hh.ru/vacancy/72687495?from=vacancy_search_list&query=python
60,150000.0,,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/83117084?from=vacancy_search_list&query=python
61,,300000.0,₽,hh.ru,Python developer (FastAPI),https://volgograd.hh.ru/vacancy/82703691?from=vacancy_search_list&query=python
62,200000.0,,₽,hh.ru,Backend developer (Python),https://volgograd.hh.ru/vacancy/82924150?from=vacancy_search_list&query=python
63,130000.0,,₽,hh.ru,Backend-разработчик Python/Django,https://volgograd.hh.ru/vacancy/83752469?from=vacancy_search_list&query=python
64,200000.0,,₽,hh.ru,"Разработчик backend Python, Middle",https://volgograd.hh.ru/vacancy/83574305?from=vacancy_search_list&query=python
65,,120000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83512639?from=vacancy_search_list&query=python
66,105000.0,223000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/82130394?from=vacancy_search_list&query=python
67,180000.0,270000.0,₽,hh.ru,"Разработчик Python (FastAPI, MySQL, Clickhouse) удаленно",https://volgograd.hh.ru/vacancy/82826027?from=vacancy_search_list&query=python
68,200000.0,,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/80506144?from=vacancy_search_list&query=python
69,60000.0,,₽,hh.ru,Data Scientist,https://volgograd.hh.ru/vacancy/83217470?from=vacancy_search_list&query=python
70,200000.0,,₽,hh.ru,Программист Middle Python/Go (в ОФИС),https://volgograd.hh.ru/vacancy/81907796?from=vacancy_search_list&query=python
71,,,,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/82211174?from=vacancy_search_list&query=python
72,,,,hh.ru,Middle Python Developer,https://volgograd.hh.ru/vacancy/83188462?from=vacancy_search_list&query=python
73,,,,hh.ru,Программист-разработчик Python,https://volgograd.hh.ru/vacancy/83558084?from=vacancy_search_list&query=python
74,220000.0,340000.0,₽,hh.ru,Ведущий Python-developer,https://volgograd.hh.ru/vacancy/83748034?from=vacancy_search_list&query=python
75,150000.0,200000.0,₽,hh.ru,Python developer,https://volgograd.hh.ru/vacancy/75486835?from=vacancy_search_list&query=python
76,250000.0,380000.0,₽,hh.ru,Data Scientist middle+/Senior,https://volgograd.hh.ru/vacancy/82750408?from=vacancy_search_list&query=python
77,200000.0,280000.0,₽,hh.ru,Python разработчик (удалённо),https://volgograd.hh.ru/vacancy/82039217?from=vacancy_search_list&query=python
78,350000.0,,₽,hh.ru,Senior Python бэкенд разработчик приложений / Backend developer apps,https://volgograd.hh.ru/vacancy/82963256?from=vacancy_search_list&query=python
79,,250000.0,₽,hh.ru,Программист Python Аналитик данных,https://volgograd.hh.ru/vacancy/83332610?from=vacancy_search_list&query=python
80,250000.0,400000.0,₽,hh.ru,Разработчик Python/Developer Python,https://volgograd.hh.ru/vacancy/83461035?from=vacancy_search_list&query=python
81,140000.0,450000.0,₽,hh.ru,Senior python developer,https://volgograd.hh.ru/vacancy/83208497?from=vacancy_search_list&query=python
82,2500.0,3500.0,$,hh.ru,Middle Python developer,https://volgograd.hh.ru/vacancy/83578836?from=vacancy_search_list&query=python
83,,280000.0,$,hh.ru,Middle/Senior Python-разработчик (удаленно),https://volgograd.hh.ru/vacancy/83645238?from=vacancy_search_list&query=python
84,6000.0,,$,hh.ru,Team Lead Python,https://volgograd.hh.ru/vacancy/82994719?from=vacancy_search_list&query=python
85,,280000.0,$,hh.ru,Middle/Senior Python-разработчик (удаленно),https://volgograd.hh.ru/vacancy/83645239?from=vacancy_search_list&query=python
86,,,,hh.ru,Junior Python Developer,https://volgograd.hh.ru/vacancy/83385826?from=vacancy_search_list&query=python
87,250000.0,300000.0,₽,hh.ru,Python разработчик (в офис),https://volgograd.hh.ru/vacancy/83559025?from=vacancy_search_list&query=python
88,230000.0,,₽,hh.ru,Python-разработчик (Django),https://volgograd.hh.ru/vacancy/79824429?from=vacancy_search_list&query=python
89,100000.0,,₽,hh.ru,Python Middle Developer,https://volgograd.hh.ru/vacancy/81254369?from=vacancy_search_list&query=python
90,170000.0,,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/83453023?from=vacancy_search_list&query=python
91,,,,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/83430583?from=vacancy_search_list&query=python
92,,,,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/78687532?from=vacancy_search_list&query=python
